Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
42B,0200,42B,0000,000,0000,000,0000,0000,004,0100
42B,0200,42C,0200,42B,0200,000,042B,0000,004,0100
42C,EEFD,42D,EEFD,42A,0000,000,FFFD,0000,004,0100,42A,0000
42D,AF03,42E,AF03,42D,0003,000,0003,0003,000,0000
42E,EEFA,42F,EEFA,429,0003,000,FFFA,0003,000,0000,429,0003
42F,AEF7,430,AEF7,427,07FE,000,FFF7,07FE,000,0000
430,EEF7,431,EEF7,428,07FE,000,FFF7,07FE,000,0000,428,07FE
431,AAF6,432,AAF6,7FE,0000,000,FFF6,0000,004,0100,428,07FF
432,0480,433,0480,432,0480,000,0432,0000,004,0100
433,F406,434,F406,433,F406,000,0433,0000,004,0100
434,0480,435,0480,434,0480,000,0434,0000,004,0100
435,F404,436,F404,435,F404,000,0435,0000,004,0100
436,0400,437,0400,436,0400,000,0436,0000,004,0100
437,0400,438,0400,437,0400,000,0437,0000,004,0100
438,4EF1,439,4EF1,42A,0000,000,FFF1,0000,004,0100
439,EEF0,43A,EEF0,42A,0000,000,FFF0,0000,004,0100,42A,0000
43A,8429,43B,8429,429,0002,000,0001,0000,004,0100,429,0002
43B,CEF5,431,CEF5,43B,0431,000,FFF5,0000,004,0100
431,AAF6,432,AAF6,7FF,DD3C,000,FFF6,DD3C,008,1000,428,0800
432,0480,433,0480,432,0480,000,0432,6E9E,000,0000
433,F406,434,F406,433,F406,000,0433,6E9E,000,0000
434,0480,435,0480,434,0480,000,0434,374F,000,0000
435,F404,436,F404,435,F404,000,0435,374F,000,0000
436,0400,437,0400,436,0400,000,0436,6E9E,000,0000
437,0400,438,0400,437,0400,000,0437,DD3C,00A,1010
438,4EF1,439,4EF1,42A,0000,000,FFF1,DD3C,008,1000
439,EEF0,43A,EEF0,42A,DD3C,000,FFF0,DD3C,008,1000,42A,DD3C
43A,8429,43B,8429,429,0001,000,0000,DD3C,008,1000,429,0001
43B,CEF5,431,CEF5,43B,0431,000,FFF5,DD3C,008,1000
431,AAF6,432,AAF6,000,2695,000,FFF6,2695,000,0000,428,0801
432,0480,433,0480,432,0480,000,0432,134A,003,0011
433,F406,43A,F406,433,F406,000,0006,134A,003,0011
43A,8429,43C,8429,429,0000,000,FFFF,134A,003,0011,429,0000
43C,0100,43D,0100,43C,0100,000,043C,134A,003,0011
